,title,overview,vote_average,processed_overview
2294,Angel-A,a beautiful and mysterious woman helps an inept scam artist get his game together...but is their meeting purely coincidence?,6.8,beautiful mysterious woman help inept scam artist get game together ... meeting purely coincidence ?
2295,25 Fireman's Street,"on one hot summer night, the residents of a hungarian apartment house slated for demolition restlessly revisit their haunted pasts as they face an uncertain future. in a gently turning kaleidoscope of dream imagery, regret-laden nostalgia and painstakingly intimate detail, the looming wrecking ball pales in significance to the accumulated experiences each dreamer revisits. pre-war prejudice, occupying nazis and stalinist deprivations all come and go as each tenant’s backward glance yields moments of aching sensuality, infectious exuberance and catastrophic loss.",5.0,"one hot summer night , resident hungarian apartment house slated demolition restlessly revisit haunted past face uncertain future . gently turning kaleidoscope dream imagery , regret-laden nostalgia painstakingly intimate detail , looming wrecking ball pale significance accumulated experience dreamer revisits . pre-war prejudice , occupying nazi stalinist deprivation come go tenant ’ backward glance yield moment aching sensuality , infectious exuberance catastrophic loss ."
2296,Buddy Boy,an introvert relieves the tedium of caring for his invalid mother by spying on his neighbor.,6.0,introvert relief tedium caring invalid mother spying neighbor .
2297,Russell Howard: Live,"russell has been busy cementing his place as one of the hottest properties in comedy with his bbc6 music show every sunday, loads of mock the week and never mind the buzzcocks on bbc2, would i lie to you? and live at the apollo on bbc1, law of the playground on channel 4 and tough gig, the brits and the british comedy awards on itv! but it is on stage where russell really storms it.",6.5,"russell busy cementing place one hottest property comedy bbc6 music show every sunday , load mock week never mind buzzcocks bbc2 , would lie ? live apollo bbc1 , law playground channel 4 tough gig , brit british comedy award itv ! stage russell really storm ."
2298,Battle in Heaven,"set in mexico city, carlos reygadas's sexually explicit drama centers on a man in turmoil over his past actions. chauffer marcos feels compelled to reveal a dark secret to his boss's daughter, ana, a wealthy woman who works as a prostitute just for the thrill of it. marcos confesses that he and his wife committed a crime that ended in horrible tragedy. haunted by his past, marcos searches for redemption.",5.6,"set mexico city , carlos reygadas 's sexually explicit drama center man turmoil past action . chauffer marcos feel compelled reveal dark secret bos 's daughter , ana , wealthy woman work prostitute thrill . marcos confesses wife committed crime ended horrible tragedy . haunted past , marcos search redemption ."
2299,Remembrance,"hannah, a young jewish girl, is rescued from a concentration camp by her polish boyfriend, and believes he died after their perilous escape. more than 30 years later, the married hannah faces an emotional crisis when she learns he's alive.",7.4,"hannah , young jewish girl , rescued concentration camp polish boyfriend , belief died perilous escape . 30 year later , married hannah face emotional crisis learns 's alive ."
2300,Kicking and Screaming,"after college graduation, grover's girlfriend jane tells him she's moving to prague to study writing. grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like chet, the professional student who tends bar and is in his tenth year of university studies.",7.0,"college graduation , grover 's girlfriend jane tell 's moving prague study writing . grover decline accompany , deciding instead move several friend , ca n't quite work inertia escape university 's pull . nobody want make big decision would radically alter life , yet none want end like chet , professional student tends bar tenth year university study ."
2301,Step Up 2: The Streets,"when rebellious street dancer andie lands at the elite maryland school of the arts, she finds herself fighting to fit in while also trying to hold onto her old life. when she joins forces with the schools hottest dancer, chase, to form a crew of classmate outcasts to compete in baltimore s underground dance battle the streets.",6.5,"rebellious street dancer andie land elite maryland school art , find fighting fit also trying hold onto old life . join force school hottest dancer , chase , form crew classmate outcast compete baltimore underground dance battle street ."
2302,Hail the Conquering Hero,"having been discharged from the marines for a hayfever condition before ever seeing action, woodrow lafayette pershing truesmith (eddie bracken) delays the return to his hometown, feeling that he is a failure. while in a moment of melancholy, he meets up with a group of marines who befriend him and encourage him to return home to his mother by fabricating a story that he was wounded in battle with honorable discharge.",7.1,"discharged marine hayfever condition ever seeing action , woodrow lafayette pershing truesmith ( eddie bracken ) delay return hometown , feeling failure . moment melancholy , meet group marine befriend encourage return home mother fabricating story wounded battle honorable discharge ."
2303,Intimate Relations,"a young merchant marine turns up in an english coastal town looking for a brother he barely knows. when his brother's wife rebukes him he takes up with the beasley family. however, soon the mother and daughter are chasing and ending up in the man's bed. however, soon both women start showing up at the same time which is a little much for him.",8.0,"young merchant marine turn english coastal town looking brother barely know . brother 's wife rebuke take beasley family . however , soon mother daughter chasing ending man 's bed . however , soon woman start showing time little much ."
2304,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature,"when a murder happens with a bloody inscription and a ring left behind, puzzled scotland yard detectives go to sherlock holmes for help.",7.7,"murder happens bloody inscription ring left behind , puzzled scotland yard detective go sherlock holmes help ."
2305,Nanny McPhee,"widower cedric brown (colin firth) hires nanny mcphee (emma thompson) to care for his seven rambunctious children, who have chased away all previous nannies. taunted by simon (thomas sangster) and his siblings, nanny mcphee uses mystical powers to instill discipline. and when the children's great-aunt and benefactor, lady adelaide stitch (angela lansbury), threatens to separate the kids, the family pulls together under the guidance of nanny mcphee.",6.4,"widower cedric brown ( colin firth ) hire nanny mcphee ( emma thompson ) care seven rambunctious child , chased away previous nanny . taunted simon ( thomas sangster ) sibling , nanny mcphee us mystical power instill discipline . child 's great-aunt benefactor , lady adelaide stitch ( angela lansbury ) , threatens separate kid , family pull together guidance nanny mcphee ."
2306,"Dzhentlmeny, Udachi!","the remake of famous russian comedy ""dzhentlmeny udachi"" (1971).",4.4,remake famous russian comedy `` dzhentlmeny udachi '' ( 1971 ) .
2307,Twelfth Night,"shakespeare's comedy of gender confusion, in which a girl disguises herself as a man to be near the count she adores, only to be pursued by the woman he loves.",7.0,"shakespeare 's comedy gender confusion , girl disguise man near count adores , pursued woman love ."
2308,Somm,"somm takes the viewer on a humorous, emotional and illuminating look into the mysterious world of the court of master sommeliers and their massively intimidating master sommelier exam.",7.1,"somm take viewer humorous , emotional illuminating look mysterious world court master sommelier massively intimidating master sommelier exam ."
2309,The Philadelphia Experiment,"based on an ""actual event"" that took place in 1943. about a us navy destroyer escort that disappeared from the philadelphia naval shipyard, and sent two men 40 years into the future to 1984.",6.1,"based `` actual event '' took place 1943. u navy destroyer escort disappeared philadelphia naval shipyard , sent two men 40 year future 1984 ."
2310,There Was a Father,"shuhei horikawa, a poor schoolteacher, struggles to raise his son ryohei by himself, despite neither money nor prospects.",7.5,"shuhei horikawa , poor schoolteacher , struggle raise son ryohei , despite neither money prospect ."
2311,Beautiful Boy,"a married couple on the verge of separation are leveled by the news their 18-year-old son committed a mass shooting at his college, then took his own life.",6.1,"married couple verge separation leveled news 18-year-old son committed mass shooting college , took life ."
2312,Bear with Me,"an orphaned bear cub is adopted by little emily and her family. they name the cub masha, raise her and release her back into the wild. three years go by, and emily is lost deep in the forest. cold, frightened and alone in the darkness, she falls and is knocked unconscious. when she awakens, emily is amazed to see that a brown bear has kept her warm and dry all night by cuddling her. it's masha – and emily is overjoyed to be reunited with the bear just when she needs a friend most. together the two bravely set off on an adventure to find their way home. bear with me is a tale the whole family will find as exciting as it is heart-warming . . . and the magnificent forests of the pacific northwest lend this story of loyalty, friendship and adventure a magic all its own.",5.0,"orphaned bear cub adopted little emily family . name cub masha , raise release back wild . three year go , emily lost deep forest . cold , frightened alone darkness , fall knocked unconscious . awakens , emily amazed see brown bear kept warm dry night cuddling . 's masha – emily overjoyed reunited bear need friend . together two bravely set adventure find way home . bear tale whole family find exciting heart-warming . . . magnificent forest pacific northwest lend story loyalty , friendship adventure magic ."
2313,Transporter 3,"frank martin puts the driving gloves on to deliver valentina, the kidnapped daughter of a ukranian government official, from marseilles to odessa on the black sea. en route, he has to contend with thugs who want to intercept valentina's safe delivery and not let his personal feelings get in the way of his dangerous objective.",5.9,"frank martin put driving glove deliver valentina , kidnapped daughter ukranian government official , marseille odessa black sea . en route , contend thug want intercept valentina 's safe delivery let personal feeling get way dangerous objective ."
2314,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"the turtles and the shredder battle once again, this time for the last cannister of the ooze that created the turtles, which shredder wants to create an army of new mutants.",5.8,"turtle shredder battle , time last cannister ooze created turtle , shredder want create army new mutant ."
2315,Natural Enemies,a man hires hires five hookers to fulfill a final fantasy before killing himself and his family.,0.0,man hire hire five hooker fulfill final fantasy killing family .
2316,One of Our Aircraft Is Missing,"during the allied bombing offensive of world war ii the public was often informed that ""a raid took place last night over ..., one (or often more) of our aircraft is missing"". behind these sombre words hid tales of death, destruction and derring-do. this is the story of one such bomber crew who were shot down and the brave dutch patriots who helped them home.",6.4,"allied bombing offensive world war ii public often informed `` raid took place last night ... , one ( often ) aircraft missing '' . behind sombre word hid tale death , destruction derring-do . story one bomber crew shot brave dutch patriot helped home ."
2317,The Sublet,"the sublet is a suspense driven psychological thriller about joanna, a new mom coping with her baby alone in an odd sublet apartment. as her husband neglects her to focus on his career, joanna questions her sanity as she discovers a violent past to the apartment and suspects that the building may be haunted.",6.5,"sublet suspense driven psychological thriller joanna , new mom coping baby alone odd sublet apartment . husband neglect focus career , joanna question sanity discovers violent past apartment suspect building may haunted ."
2318,The Dragon Missile,"lo lieh stars as sima jun, a killer working for a corrupt lord whose orders are followed without question or hesitation. when the lord (ku feng) suffers from a life-threatening boil on his back, he is told by the imperial doctor that an herb called ""longevity rattan"" offers the only cure and is grown in a remote village by an herbalist named tan. lo is sent on a mission to get the herb and bring it back before it's too late (seven days). a jealous aide saddles lo with six other fighters to accompany him, i.e. steal the herb when they get the chance and race back to the capital so the aide will get the credit. lo doesn't trust the six and none of them trust each other. at one point, one of the six nearly botches the whole mission.",6.7,"lo lieh star sima jun , killer working corrupt lord whose order followed without question hesitation . lord ( ku feng ) suffers life-threatening boil back , told imperial doctor herb called `` longevity rattan '' offer cure grown remote village herbalist named tan . lo sent mission get herb bring back 's late ( seven day ) . jealous aide saddle lo six fighter accompany , i.e . steal herb get chance race back capital aide get credit . lo n't trust six none trust . one point , one six nearly botch whole mission ."
2319,"Bird's-Eye View of Dock Front, Galveston","at the first news of the disast by cyclone and tidal wave that devastated galveston on saturday, september 8th, 1900, we equipped a party of photographers and sent them by special train to the scene of the ruins. arriving at the scene of desolation shortly after the storm had swept over the city, our party succeeded, at the risk of life and limb, in taking about a thousand feet of motion pictures, although galveston was under martial law and photographers were shot down at sight by the excited police. the series, taken as a whole, gives a definite idea of the most terrible disaster since the johnstown flood of 1889.",0.0,"first news disast cyclone tidal wave devastated galveston saturday , september 8th , 1900 , equipped party photographer sent special train scene ruin . arriving scene desolation shortly storm swept city , party succeeded , risk life limb , taking thousand foot motion picture , although galveston martial law photographer shot sight excited police . series , taken whole , give definite idea terrible disaster since johnstown flood 1889 ."
2320,Turtle Diary,"two separate people, a man and a woman, find something very stirring about the sea turtles in their tank at the london zoo. they meet and form an odd, but sympathetic camaraderie as they plan to steal two of the turtles and free them into the ocean.",8.3,"two separate people , man woman , find something stirring sea turtle tank london zoo . meet form odd , sympathetic camaraderie plan steal two turtle free ocean ."
2321,Zamfir's Zona,"zona zamfirova is set in the eastern serbian city of niš in the 19th century. the plot follows the story of zona zamfirova, a local rich man's daughter, and the vicissitudes of her affair with mane, an ordinary goldsmith. as it was undesirable for the daughter of a rich man to marry a craftsman, the two are at first divided, with the possibility of zona marrying manulać, who came from a wealthy family. everything is, however, changed as mane organizes a successful conspiracy to keep zona for himself.",7.3,"zona zamfirova set eastern serbian city niš 19th century . plot follows story zona zamfirova , local rich man 's daughter , vicissitude affair mane , ordinary goldsmith . undesirable daughter rich man marry craftsman , two first divided , possibility zona marrying manulać , came wealthy family . everything , however , changed mane organizes successful conspiracy keep zona ."
2322,The Day That Lasted 21 Years,"stunning espionage documentary on the us conspiracy that led to the 1964 brazilian coup d'état. john f. kennedy and lyndon johnson original white house tapes, and cia top secret documents reveal how the us government planned to overthrow brazilian elected president joão goulart.",8.0,"stunning espionage documentary u conspiracy led 1964 brazilian coup d'état . john f. kennedy lyndon johnson original white house tape , cia top secret document reveal u government planned overthrow brazilian elected president joão goulart ."
2323,On Tour,"formerly successful television producer joachim zand returns from america to his native france, where he previously has left everything behind, including friends, enemies and his own children. in his company is a burlesque striptease troupe whom he has promised a grand performance in paris.together they tour the french port cities, staying at cheap hotels and making success along the way. old conflicts are however reignated upon the return to the french capital. joachim is betrayed by people from his past, making him lose the venue where they were to perform, and the paris finale comes to nothing.",6.4,"formerly successful television producer joachim zand return america native france , previously left everything behind , including friend , enemy child . company burlesque striptease troupe promised grand performance paris.together tour french port city , staying cheap hotel making success along way . old conflict however reignated upon return french capital . joachim betrayed people past , making lose venue perform , paris finale come nothing ."
2324,The Lost Continent,"an eclectic group of characters set sail on captain lansen’s leaky cargo ship in an attempt to escape their various troubles. when a violent storm strikes, the ship is swept into the sargasso sea and the passengers find themselves trapped on an island populated by man-eating seaweed, giant crabs and spanish conquistadors who believe it’s still the 16th century.",5.7,"eclectic group character set sail captain lansen ’ leaky cargo ship attempt escape various trouble . violent storm strike , ship swept sargasso sea passenger find trapped island populated man-eating seaweed , giant crab spanish conquistador believe ’ still 16th century ."
2325,Q Planes,an eccentric scotland yard inspector (ralph richardson) thinks something beamed from a spy ship is dropping planes.,5.2,eccentric scotland yard inspector ( ralph richardson ) think something beamed spy ship dropping plane .
2326,Frankie Starlight,the quirky story of a young boy's adventures growing up with his stunningly beautiful mother and the two very different men who love her.,5.4,quirky story young boy 's adventure growing stunningly beautiful mother two different men love .
2327,What's Between Us,"after eighteen years of marriage, alice finds herself confronted with the fact that her husband frank feels more and more attracted to men. not only frank, but also she and their three children undergo an irreversible change.",5.0,"eighteen year marriage , alice find confronted fact husband frank feel attracted men . frank , also three child undergo irreversible change ."
2328,Perry Mason Returns,"when his former secretary (barbara hale) is accused of a murder, perry mason (raymond burr) gives up a judgeship to defend her.",6.5,"former secretary ( barbara hale ) accused murder , perry mason ( raymond burr ) give judgeship defend ."
2329,Tokyo Raiders,"when a private eye, a jilted bride and a mysterious stranger join forces to track down an elusive mobster, there's more than trouble in the air in tokyo raiders, a martial arts adventure that really flies! acclaimed hong kong action star tony leung plays len, a smooth-talking detective whose trench coat carries an arsenal of tricks and provides a streetwise disguise for the kung fu master. while on the trail of a gangland boss, len meets up with brokenhearted macy (international pop star kelly chen) and john (actor/singer ekin cheng), an interior designer with ulterior motives. as they close in on their quarry, the dramatic tokyo streets are filled with close calls, triple-crosses, gravity-defying fight scenes and a band of chicks that totally kicks!",5.7,"private eye , jilted bride mysterious stranger join force track elusive mobster , 's trouble air tokyo raider , martial art adventure really fly ! acclaimed hong kong action star tony leung play len , smooth-talking detective whose trench coat carry arsenal trick provides streetwise disguise kung fu master . trail gangland bos , len meet brokenhearted macy ( international pop star kelly chen ) john ( actor/singer ekin cheng ) , interior designer ulterior motif . close quarry , dramatic tokyo street filled close call , triple-crosses , gravity-defying fight scene band chick totally kick !"
2330,Space Station 3D,"some 220 miles above earth lies the international space station, a one-of-a-kind outer space laboratory that 16 nations came together to build. get a behind-the-scenes look at the making of this extraordinary structure in this spectacular imax film. viewers will blast off from florida's kennedy space center and the baikonur cosmodrome in russia for this incredible journey -- imax's first-ever space film. tom cruise narrates.",6.1,"220 mile earth lie international space station , one-of-a-kind outer space laboratory 16 nation came together build . get behind-the-scenes look making extraordinary structure spectacular imax film . viewer blast florida 's kennedy space center baikonur cosmodrome russia incredible journey -- imax 's first-ever space film . tom cruise narrates ."
2331,Harold and Maude,the young harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. harold meets an 80-year-old woman named maude who also lives in her own world yet one in which she is having the time of her life. when the two opposites meet they realize that their differences don’t matter and they become best friends and love each other.,7.7,young harold life world suicide-attempts funeral visit avoid misery current family home environment . harold meet 80-year-old woman named maude also life world yet one time life . two opposite meet realize difference ’ matter become best friend love .
2332,Tibet: Cry of the Snow Lion,"ten years in the making, this award-winning feature-length documentary was filmed during nine journeys throughout tibet, india and nepal. cry of the snow lion brings audiences to the long-forbidden ""rooftop of the world"" with an unprecedented richness of imagery... from rarely-seen rituals in remote monasteries, to horse races with khamba warriors; from brothels and slums in the holy city of lhasa, to magnificent himalayan peaks still traveled by nomadic yak caravans. the dark secrets of tibet's recent past are powerfully chronicled through personal stories and interviews, and a collection of undercover and archival images never before assembled in one film. a definitive exploration of a legendary subject, cry of the snow lion is an epic story of courage and compassion",8.0,"ten year making , award-winning feature-length documentary filmed nine journey throughout tibet , india nepal . cry snow lion brings audience long-forbidden `` rooftop world '' unprecedented richness imagery ... rarely-seen ritual remote monastery , horse race khamba warrior ; brothel slum holy city lhasa , magnificent himalayan peak still traveled nomadic yak caravan . dark secret tibet 's recent past powerfully chronicled personal story interview , collection undercover archival image never assembled one film . definitive exploration legendary subject , cry snow lion epic story courage compassion"
2333,The Marquise of O,a german marquise has to deal with a pregnancy she cannot explain and an infatuated russian count.,6.1,german marquise deal pregnancy explain infatuated russian count .
2334,The Jewel of the Nile,"joan wilder is thrust back into a world of murder, chases, foreign intrigue... and love. this time out she's duped by a duplicitous arab dignitary who brings her to the middle east, ostensibly to write a book about his life. of course he's up to no good, and joan is just another pawn in his wicked game. but jack colton and his sidekick ralph show up to help our intrepid heroine save the day.",6.0,"joan wilder thrust back world murder , chase , foreign intrigue ... love . time 's duped duplicitous arab dignitary brings middle east , ostensibly write book life . course 's good , joan another pawn wicked game . jack colton sidekick ralph show help intrepid heroine save day ."
2335,A Perfect Day,"antonio and emma have been separated for years, but he does not accept when emma dates other men. indeed antonio proves obsessive, aggressive and intrusive, and again threatens emma to hurt the children: little kevin, shy and introverted, and the adolescent valentina.",6.6,"antonio emma separated year , accept emma date men . indeed antonio prof obsessive , aggressive intrusive , threatens emma hurt child : little kevin , shy introverted , adolescent valentina ."
2336,Two: The Story of Roman & Nyro,"combining over twelve years of footage and narrated by their twin sons, two: the story of roman &amp; nyro, follows legendary songwriter desmond child and his lifelong partner's loving journey to create their new modern family.",0.0,"combining twelve year footage narrated twin son , two : story roman & amp ; nyro , follows legendary songwriter desmond child lifelong partner 's loving journey create new modern family ."
2337,Mirror for a Hero,"two not quite similar men, our contemporaries, sergey pshenichny and andrew nemchinov, are walking in the street in their native mining town and found themselves in 1949. it's a common knowledge that real miracles happen without technical devices: time comes miracle happens. they spend in 1949 only one day the next morning they found that it is the same day that was yesterday. all several months, they spent in the past, they spent in one and the same day: the 8th of may, sunday, the day of heightened coal production. in the morning to the coal mine, in an hour an accident in a coalface, at 10 o'clock wire from the ministry, after work reunion concerning the stalins anniversary; robbing of pay desk, death of policeman ryabenko, in the evening - volunteer sunday work… and in the morning the same, and so for ever and ever philosophic fiction, accompanied by music of group nautilus pompillius. after a novel of s.rybasa of the same name.",5.2,"two quite similar men , contemporary , sergey pshenichny andrew nemchinov , walking street native mining town found 1949. 's common knowledge real miracle happen without technical device : time come miracle happens . spend 1949 one day next morning found day yesterday . several month , spent past , spent one day : 8th may , sunday , day heightened coal production . morning coal mine , hour accident coalface , 10 o'clock wire ministry , work reunion concerning stalin anniversary ; robbing pay desk , death policeman ryabenko , evening - volunteer sunday work… morning , ever ever philosophic fiction , accompanied music group nautilus pompillius . novel s.rybasa name ."
2338,Les Enfants Terribles,"elisabeth and her brother paul live isolated from much of the world after paul is injured in a snowball fight. as a coping mechanism, the two conjure up a hermetic dream of their own making. their relationship, however, isn't exactly wholesome. jealousy and a malevolent undercurrent intrude on their fantasy when elisabeth invites the strange agathe to stay with them -- and paul is immediately attracted to her.",6.7,"elisabeth brother paul live isolated much world paul injured snowball fight . coping mechanism , two conjure hermetic dream making . relationship , however , n't exactly wholesome . jealousy malevolent undercurrent intrude fantasy elisabeth invite strange agathe stay -- paul immediately attracted ."
2339,The Reef,a great white shark hunts the crew of a capsized sailboat along the great barrier reef.,5.4,great white shark hunt crew capsized sailboat along great barrier reef .
2340,The Affairs of Martha,members of a well-to-do small community become worried when it is revealed that one of their maids is writing a telling exposé.,0.0,member well-to-do small community become worried revealed one maid writing telling exposé .
2341,The Dovekeepers,this four-hour miniseries is based on alice hoffman’s acclaimed historical novel about four extraordinary women whose lives intersect in a fight for survival at the siege of masada.,4.3,four-hour miniseries based alice hoffman ’ acclaimed historical novel four extraordinary woman whose life intersect fight survival siege masada .
2342,The Great Yokai War,"a young boy with a troubled home life becomes ""chosen,"" and he stumbles into the middle of a great spirit war, where he meets a group of friendly spirits who become his companions through his journey. now he must fight to protect his friends and free the world of the spirits from oppression. the creatures and ghosts are taken directly from japanese folklore and range from the cute and silly to the disturbing. written by seikima",5.8,"young boy troubled home life becomes `` chosen , '' stumble middle great spirit war , meet group friendly spirit become companion journey . must fight protect friend free world spirit oppression . creature ghost taken directly japanese folklore range cute silly disturbing . written seikima"
2343,The War of the Robots,"an alien civilization, which facing eminent extinction, kidnaps two famous genetic scientists from earth. a troop of soldiers is dispatched to combat the humanoid robots and rescue the victims.",2.5,"alien civilization , facing eminent extinction , kidnaps two famous genetic scientist earth . troop soldier dispatched combat humanoid robot rescue victim ."
2344,Daddy's Home,"the story of a mild-mannered radio executive (ferrell) who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",5.8,"story mild-mannered radio executive ( ferrell ) strives become best stepdad ever wife 's two child , complication ensue freewheeling , freeloading real father arrives , forcing stepdad compete affection kid ."
2345,Europa,"an american, leopold kessler (jean-marc barr) goes to post-war germany in 1945 to work as a railroad conductor for the zentropa rail line instead of going into the army because he feels its a more valuable thing to do for the state of the world. he meets katharina hartmann (barbara sukowa), the daughter of the railroad owner and they fall in love.",7.3,"american , leopold kessler ( jean-marc barr ) go post-war germany 1945 work railroad conductor zentropa rail line instead going army feel valuable thing state world . meet katharina hartmann ( barbara sukowa ) , daughter railroad owner fall love ."
2346,The Polish Bride,"drama on the dawning love between a polish woman and a farmer. anna is forced to work in a brothel, but manages to escape. she's found, exhausted and scared, by henk (the farmer) who offers her a place to stay, but her past chases her.",6.8,"drama dawning love polish woman farmer . anna forced work brothel , manages escape . 's found , exhausted scared , henk ( farmer ) offer place stay , past chase ."
2347,The Black Room,"karloff is once again chilling and brilliant in this highly-regarded dual role which showcases two sides of the actor. he plays twin brothers anton and gregor. it has been prophesied that anton, the younger brother, will eventually murder gregor in their castle's ""black room."" gregor is an evil baron who is loathed by everyone, while anton is highly regarded and revered.",5.8,"karloff chilling brilliant highly-regarded dual role showcase two side actor . play twin brother anton gregor . prophesied anton , younger brother , eventually murder gregor castle 's `` black room . '' gregor evil baron loathed everyone , anton highly regarded revered ."
2348,Horror Story,"a group of 7 youngsters-4 guys and 3 girls decide to spend a night at a reportedly haunted hotel to celebrate the farewell of one of them leaving for the usa. despite people's warnings and other ""signs"" trying to ward them off from there, they enter the hotel, and then the truth dawns on them.  seven friends - sam alias samrat, magesh, achint, neel, neena, sonia and magi reunite after several years apart to celebrate the farewell of one of their friends, who is going abroad in order to pursue his career and fulfill his goals. the group soon learns about an abandoned hotel with strange stories around it. much against warnings, they decide to spend a night at the hotel, and soon realize the mistake of their lives",4.8,"group 7 youngsters-4 guy 3 girl decide spend night reportedly haunted hotel celebrate farewell one leaving usa . despite people 's warning `` sign '' trying ward , enter hotel , truth dawn . seven friend - sam alias samrat , magesh , achint , neel , neena , sonia magi reunite several year apart celebrate farewell one friend , going abroad order pursue career fulfill goal . group soon learns abandoned hotel strange story around . much warning , decide spend night hotel , soon realize mistake life"
2349,Low & Clear,"a meditation on friendship and life in the disappearing wilderness of the west, 'low and clear' follows two formerly close friends who re-unite for one last fly fishing trip. over the course of their time together they come to understand how much they have each changed and how these changes now threaten the friendship.",6.0,"meditation friendship life disappearing wilderness west , 'low clear ' follows two formerly close friend re-unite one last fly fishing trip . course time together come understand much changed change threaten friendship ."
2350,Fifty/Fifty,two bickering mercenaries are hired by the cia to overthrow a south east asian dictator.,7.3,two bickering mercenary hired cia overthrow south east asian dictator .
2351,The Family Way,"following the wedding of young jenny piper and arthur fitton (hayley mills and hywel bennett), a rowdy reception is held at a local pub where the newlyweds are subjected to much well-meaning but vulgar ribaldry. the couple returns to the fitton home to spend their first night together before leaving for a honeymoon in majorca, but they are followed by some of the wedding guests who keep the party going until early morning. worse yet, when the youngsters finally are permitted to retire, their bed collapses as the result of a practical joke.",8.3,"following wedding young jenny piper arthur fitton ( hayley mill hywel bennett ) , rowdy reception held local pub newlywed subjected much well-meaning vulgar ribaldry . couple return fitton home spend first night together leaving honeymoon majorca , followed wedding guest keep party going early morning . worse yet , youngster finally permitted retire , bed collapse result practical joke ."
2352,Iron Man,"after being held captive in an afghan cave, billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil.",7.4,"held captive afghan cave , billionaire engineer tony stark creates unique weaponized suit armor fight evil ."
2353,Type O Negative: After Dark,go behind the stage with the gothic/metal band type o negative. see hilarious tounge-in-cheek humor from all 4 members (also has footage of sal abruscato). also see a huge toilet paper fight with the crowd as pantera plays on stage. you thought these guys were dark and mysterious? think again.,0.0,go behind stage gothic/metal band type negative . see hilarious tounge-in-cheek humor 4 member ( also footage sal abruscato ) . also see huge toilet paper fight crowd pantera play stage . thought guy dark mysterious ? think .
2354,Spy Kids: All the Time in the World,"eight years after the third film, the oss has become the world's top spy agency, while the spy kids department has since become defunct. a retired spy marissa (jessica alba) is thrown back into the action along with her stepchildren when a maniacal timekeeper (jeremy piven) attempts to take over the world. in order to save the world, rebecca (rowan blanchard) and cecil (mason cook) must team up with their hated stepmother. carmen and juni have since also grown up and will provide gadgets to them.",4.4,"eight year third film , os become world 's top spy agency , spy kid department since become defunct . retired spy marissa ( jessica alba ) thrown back action along stepchild maniacal timekeeper ( jeremy piven ) attempt take world . order save world , rebecca ( rowan blanchard ) cecil ( mason cook ) must team hated stepmother . carmen juni since also grown provide gadget ."
2355,The Bride Came C.O.D.,a financially-strapped charter pilot hires himself to an oil tycoon to kidnap his madcap daughter and prevent her from marrying a vapid band leader.,7.8,financially-strapped charter pilot hire oil tycoon kidnap madcap daughter prevent marrying vapid band leader .
2356,Black Hawk Down,"when u.s. rangers and an elite delta force team attempt to kidnap two underlings of a somali warlord, their black hawk helicopters are shot down, and the americans suffer heavy casualties, facing intense fighting from the militia on the ground.",7.2,"u.s. ranger elite delta force team attempt kidnap two underling somali warlord , black hawk helicopter shot , american suffer heavy casualty , facing intense fighting militia ground ."
2357,Uncertain,"a keen observation of a sun-dappled and still-watered swamp, uncertain contemplates a frequently overlooked and enigmatic town whose lake, and only real source of income, comes under threat from an aquatic nuisance of the botanical variety. perhaps unsurprisingly for a site so-named, there is a lack of consensus about the texas town's origin: whether the result of a surveyor's confusion when marking an early map, or steamboat captains' belief that docking there was an unknowable, impossible task, an auspicious beginning is offered for the unsettled and yearning inhabitants.",5.0,"keen observation sun-dappled still-watered swamp , uncertain contemplates frequently overlooked enigmatic town whose lake , real source income , come threat aquatic nuisance botanical variety . perhaps unsurprisingly site so-named , lack consensus texas town 's origin : whether result surveyor 's confusion marking early map , steamboat captain ' belief docking unknowable , impossible task , auspicious beginning offered unsettled yearning inhabitant ."
2358,8 Mile,"the setting is detroit in 1995. the city is divided by 8 mile, a road that splits the town in half along racial lines. a young white rapper, jimmy ""b-rabbit"" smith jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. with his pal future and the three one third in place, all he has to do is not choke.",6.8,"setting detroit 1995. city divided 8 mile , road split town half along racial line . young white rapper , jimmy `` b-rabbit '' smith jr. summons strength within cross arbitrary boundary fulfill dream success hip hop . pal future three one third place , choke ."
